Shinsekai,ACIDMAN,2013,E Standard,None,"February 18, 2014",None,
stupid,The Birthday,2006,E♭ Standard,None,"February 18, 2014",None,
PARADOX Taiso,RIZE,2008,E♭ Standard,None,"February 18, 2014",None,
Give It All,Rise Against,2004,E♭ Standard,Rise Against Song Pack,"February 18, 2014",None,
Swing Life Away,Rise Against,2004,E♭ Standard,Rise Against Song Pack,"February 18, 2014",None,
Make It Stop,Rise Against,2011,E♭ Standard,Rise Against Song Pack,"February 18, 2014",None,
Satellite,Rise Against,2011,E♭ Standard,Rise Against Song Pack,"February 18, 2014",None,
Prayer of the Refugee,Rise Against,2006,E♭ Standard,Rise Against Song Pack,"February 18, 2014",None,
Light My Fire,The Doors,1967,E Standard: A425,The Doors Song Pack,"February 25, 2014",None,
Riders on the Storm,The Doors,1971,E Standard,The Doors Song Pack,"February 25, 2014",None,
Roadhouse Blues,The Doors,1970,E Standard,The Doors Song Pack,"February 25, 2014",None,
Don't Look Back,Boston,1978,E Standard,Boston Song Pack,"March 3, 2014",None,
Foreplay/Long Time,Boston,1976,E Standard,Boston Song Pack,"March 3, 2014",None,
Hitch a Ride,Boston,1976,E Standard,Boston Song Pack,"March 3, 2014",None,
Crazy On You,Heart,1976,E Standard,None,"March 11, 2014",None,
Love Bites (So Do I),Halestorm,2012,Drop D,None,"March 11, 2014",None,
All Around Me,Flyleaf,2005,Drop D,None,"March 11, 2014",None,
It's Complicated,A Day To Remember,2010,Drop D♭,A Day To Remember 5-Song Pack,"March 18, 2014",None,
If It Means A Lot To You,A Day To Remember,2009,D Standard/Drop C [Bass],A Day To Remember 5-Song Pack,"March 18, 2014",None,
All I Want,A Day To Remember,2010,Drop C,A Day To Remember 5-Song Pack,"March 18, 2014",None,
The Downfall Of Us All,A Day To Remember,2009,Drop C,A Day To Remember 5-Song Pack,"March 18, 2014",None,
All Signs Point To Lauderdale,A Day To Remember,2010,Drop C,A Day To Remember 5-Song Pack,"March 18, 2014",None,
Unwell,Matchbox Twenty,2002,Drop D [Bass],Matchbox Twenty 5-Song Pack,"March 25, 2014",None,
She's So Mean,Matchbox Twenty,2012,Drop D [Bass],Matchbox Twenty 5-Song Pack,"March 25, 2014",None,
How Far We've Come,Matchbox Twenty,2007,E Standard,Matchbox Twenty 5-Song Pack,"March 25, 2014",None,
Push,Matchbox Twenty,1996,E♭ Standard,Matchbox Twenty 5-Song Pack,"March 25, 2014",None,
3AM,Matchbox Twenty,1996,Capo Required,Matchbox Twenty 5-Song Pack,"March 25, 2014",None,
Totalimmortal,AFI,1999,E Standard,AFI 4-Song Pack,01.04.14,None,
Silver and Cold,AFI,2003,E♭ Standard,AFI 4-Song Pack,01.04.14,None,
Miss Murder,AFI,2006,E♭ Standard,AFI 4-Song Pack,01.04.14,None,
